,Level B ,Level C,
 आता डुक्कर कोण आहे नक्की? ,UNT,NULL,
 तू स्वतःला मराठा समजायला लागलास की काय जास्त उडू नको बोचा फोडला जाइल बांबू ने काय परिस्थिती आलीय लो… ,TIN,IND,
 गोट्या असतात कपाळावर  हा तर मोठा जावईशोध लावलात आपण..... अंडभक्त शोभता.... ,TIN,IND,
 हा देशमुख जास्त शहाणा आहे ... सीबीआय होऊ देणार नाही ... कांगणाला मुंबईत राहू देणारा नाही याचा बा... चा बोचा ,TIN,IND,
 फोपट लंपट पोपट डोक्यावरची टोपी आहे की गोट्या ,TIN,IND,
 आजच्या बेरोजगार तरुण   तरुणींना  मंद  संबोधताना कोणतं असं बुद्धीचातुर्य वापरले आहे ज्याने देशाचा पंतप्रधान सुखावेल… ,UNT,NULL,
 भाजप आमदार प्रशांत परिचारकने सैनिक पत्नीबद्दल अपशब्द काढले होते त्यावेळी काय झोपला होता का रे मूर्खा … ,TIN,IND,
 कपाळात गोट्या आहेत कसा कळणार ,UNT,NULL,
 हरामखोर लोकांनी स्वतःसाठी लावला असणार... चिंग चॉन्ग गाण्यांवर मज्जा येत नाही म्हणून.... दळभद्री कुठचे... ,TIN,OTH,
 तुम्ही तर शरदची लाळ चाटतत  म्हणुन शब्द तसेच येणार  जास्ती तोंडात एका बाजूला ठेवून ,TIN,OTH,
 अरे जेव्हा कंगना मुंबई बद्दल अपशब्द काढत होती तेव्हा तुझ्या सारख्या महाराष्ट्रद्रोही आणि दळभद्री लोक बिळात जाऊन बसले होते आ… ,TIN,OTH,
 अरे बापरे तो बावळ… ,TIN,IND,
 तोंडात घे की ,TIN,IND,
 आणि हे स्त्री पुरुष समानतेचा वारसा जपणार च्यायला जीभ झडेल बे ,UNT,NULL,
 देशाचा पंतप्रधान असू किव्हा कोणी पण त्याची लायकी फक्त छत्रपतीनच्या पायाशी  मूर्खा सारखे काही… ,UNT,NULL,
